"","x","y","order","group","region","state.name"
"139",-91.72522,16.0809490000001,12,"5.1",5,"Chiapas"
"140",-92.214644,15.2655680000001,13,"5.1",5,"Chiapas"
"141",-92.059966,15.0716610000001,14,"5.1",5,"Chiapas"
"142",-92.2262499999999,14.5329170000001,15,"5.1",5,"Chiapas"
"143",-92.7731939999999,15.153751,16,"5.1",5,"Chiapas"
"144",-94.1151359999999,16.1601400000001,17,"5.1",5,"Chiapas"
"145",-94.1534119999999,16.5223099999999,18,"5.1",5,"Chiapas"
"146",-93.8739169999999,17.151429,19,"5.1",5,"Chiapas"
"147",-93.2198569999999,17.953781,20,"5.1",5,"Chiapas"
"148",-108.059745,31.7846200000001,1,"6.1",6,"Chihuahua"
"149",-106.385138,31.7331500000001,2,"6.1",6,"Chihuahua"
"150",-106.204758,31.4652810000001,3,"6.1",6,"Chihuahua"
"151",-104.921952,30.60532,4,"6.1",6,"Chihuahua"
"152",-104.51335,29.63545,5,"6.1",6,"Chihuahua"
"153",-103.389481,29.03309,6,"6.1",6,"Chihuahua"
"154",-103.409547,28.8029410000001,7,"6.1",6,"Chihuahua"
"155",-104.002541,28.0680810000001,8,"6.1",6,"Chihuahua"
"156",-103.829505,27.0800390000001,9,"6.1",6,"Chihuahua"
"157",-104.011223,26.9550700000001,10,"6.1",6,"Chihuahua"
"158",-103.868569,26.74572,11,"6.1",6,"Chihuahua"
"159",-104.430572,26.8183810000001,12,"6.1",6,"Chihuahua"
"160",-104.388032,26.71842,13,"6.1",6,"Chihuahua"
"161",-104.835969,26.4081410000001,14,"6.1",6,"Chihuahua"
"162",-105.201394,26.55871,15,"6.1",6,"Chihuahua"
"163",-105.525847,26.4835300000001,16,"6.1",6,"Chihuahua"
"164",-106.160302,26.832249,17,"6.1",6,"Chihuahua"
"165",-106.56733,26.00413,18,"6.1",6,"Chihuahua"
"166",-106.513312,25.8455500000001,19,"6.1",6,"Chihuahua"
"167",-106.781302,25.5871010000001,20,"6.1",6,"Chihuahua"
"168",-107.159331,25.696319,21,"6.1",6,"Chihuahua"
"169",-107.395652,26.099751,22,"6.1",6,"Chihuahua"
"170",-107.750001,26.156682,23,"6.1",6,"Chihuahua"
"171",-108.111787,27.0302290000001,24,"6.1",6,"Chihuahua"
"172",-108.622566,27.08901,25,"6.1",6,"Chihuahua"
"173",-108.559037,27.4063110000001,26,"6.1",6,"Chihuahua"
"174",-109.031388,28.223069,27,"6.1",6,"Chihuahua"
"175",-108.505334,28.401639,28,"6.1",6,"Chihuahua"
"176",-108.675027,28.6718720000001,29,"6.1",6,"Chihuahua"
"177",-108.4955,29.2035510000001,30,"6.1",6,"Chihuahua"
"178",-108.481164,30.1383500000001,31,"6.1",6,"Chihuahua"
"179",-108.772141,31.3327650000001,32,"6.1",6,"Chihuahua"
"180",-108.209053,31.3340210000001,33,"6.1",6,"Chihuahua"
"181",-108.209024,31.7845220000002,34,"6.1",6,"Chihuahua"
"182",-108.059745,31.7846200000001,35,"6.1",6,"Chihuahua"
"183",-102.315192,29.877131,1,"7.1",7,"Coahuila"
"184",-101.399536,29.7690500000001,2,"7.1",7,"Coahuila"
"185",-100.679771,29.1057600000001,3,"7.1",7,"Coahuila"
"186",-100.292054,28.2767909999999,4,"7.1",7,"Coahuila"
"187",-99.8433599999999,27.7648419999999,5,"7.1",7,"Coahuila"
"188",-100.402259,27.6828710000001,6,"7.1",7,"Coahuila"
"189",-100.530761,27.3684500000001,7,"7.1",7,"Coahuila"
"190",-100.802375,27.322389,8,"7.1",7,"Coahuila"
"191",-100.875137,27.0872510000002,9,"7.1",7,"Coahuila"
"192",-100.61116,27.0801190000001,10,"7.1",7,"Coahuila"
"193",-100.620614,26.80719,11,"7.1",7,"Coahuila"
"194",-101.253669,26.4139300000001,12,"7.1",7,"Coahuila"
"195",-100.814767,25.9558190000001,13,"7.1",7,"Coahuila"
"196",-100.811576,25.684071,14,"7.1",7,"Coahuila"
"197",-100.252907,25.28514,15,"7.1",7,"Coahuila"
"198",-100.74382,25.2236990000001,16,"7.1",7,"Coahuila"
"199",-100.832496,24.5550990000001,17,"7.1",7,"Coahuila"
"200",-101.094918,24.5478100000001,18,"7.1",7,"Coahuila"
"201",-101.276077,24.762781,19,"7.1",7,"Coahuila"
"202",-101.635032,24.725891,20,"7.1",7,"Coahuila"
"203",-102.1603,25.1276789999999,21,"7.1",7,"Coahuila"
"204",-102.729758,25.1035410000001,22,"7.1",7,"Coahuila"
"205",-102.904556,24.75683,23,"7.1",7,"Coahuila"
"206",-103.136016,24.8043700000001,24,"7.1",7,"Coahuila"
"207",-103.56639,25.3035420000001,25,"7.1",7,"Coahuila"
"208",-103.434745,25.441409,26,"7.1",7,"Coahuila"
"209",-103.549233,25.534241,27,"7.1",7,"Coahuila"
"210",-103.396927,25.7762300000001,28,"7.1",7,"Coahuila"
"211",-103.435547,26.0917100000001,29,"7.1",7,"Coahuila"
"212",-103.547409,26.5325500000001,30,"7.1",7,"Coahuila"
"213",-103.997696,26.8797310000001,31,"7.1",7,"Coahuila"
"214",-103.829505,27.0800390000001,32,"7.1",7,"Coahuila"
"215",-104.002006,28.0706110000002,33,"7.1",7,"Coahuila"
"216",-103.417419,28.7905510000001,34,"7.1",7,"Coahuila"
"217",-103.388688,29.021302,35,"7.1",7,"Coahuila"
"218",-103.117088,28.98346,36,"7.1",7,"Coahuila"
"219",-102.671517,29.7439200000001,37,"7.1",7,"Coahuila"
"220",-102.315192,29.877131,38,"7.1",7,"Coahuila"
"221",-103.574668,19.3985590000001,1,"8.1",8,"Colima"
"222",-103.492767,18.9586400000001,2,"8.1",8,"Colima"
"223",-103.747344,18.697073,3,"8.1",8,"Colima"
"224",-104.690414,19.197362,4,"8.1",8,"Colima"
"225",-103.610931,19.561782,5,"8.1",8,"Colima"
"226",-103.574668,19.3985590000001,6,"8.1",8,"Colima"
"227",-98.9003979999999,19.231161,1,"9.1",9,"Distrito Federal"
"228",-98.865379,19.071191,2,"9.1",9,"Distrito Federal"
"229",-99.2361369999999,19.086219,3,"9.1",9,"Distrito Federal"
"230",-99.325347,19.2670990000001,4,"9.1",9,"Distrito Federal"
"231",-99.1044459999999,19.5295500000001,5,"9.1",9,"Distrito Federal"
